id,Target
1,8.47
2,12.87
3,5.22
4,11.79
5,10.42
6,11.76
7,10.18
8,7.77
9,9.52
10,9.85
11,10.72
12,7.1
13,9.93
14,8.09
15,14.29
16,13.39
17,13.61
18,6.34
19,9.88
20,10.43
21,7.74
22,10.25
23,10.29
24,7.81
25,14.57
26,6.05
27,10.87
28,14.17
29,12.8
30,9.13
31,9.27
32,9.82
33,6.13
34,10.88
35,9.86
36,6.36
37,11.56
38,9.93
39,12.05
40,9.2
41,10.4
42,7.79
43,9.74
44,14.49
45,6.26
46,8.96
47,8.17
48,10.58
49,10.05
50,8.35
51,9.32
52,10.22
53,11.44
54,10.9
55,9.11
56,9.35
57,10.51
58,9.74
59,10.04
60,6.2
61,12.79
62,14.21
63,6.81
64,16.24
65,12.54
66,11.62
67,7.62
68,8.56
69,12.47
70,8.53
71,10.99
72,8.92
73,6.69
74,8.0
75,10.74
76,7.96
77,10.49
78,9.43
79,8.6
80,8.42
81,12.6
82,12.33
83,10.01
84,6.26
85,9.78
86,6.42
87,9.31
88,6.79
89,8.51
90,11.68
91,13.17
92,9.41
93,9.81
94,13.42
95,9.82
96,10.32
97,10.17
98,10.35
99,9.04
100,11.81
101,11.84
102,9.47
103,12.3
104,10.48
105,12.07
106,7.23
107,10.18
108,7.78
109,8.88
110,10.29
111,9.82
112,12.53
113,14.41
114,8.05
115,8.32
116,9.86
117,9.26
118,7.83
119,7.94
120,13.05
121,9.01
122,12.21
123,10.93
124,6.87
125,5.97
126,10.99
127,11.79
128,11.68
129,12.81
130,11.97
131,6.62
132,8.44
133,5.14
134,8.43
135,12.08
136,14.71
137,8.71
138,8.74
139,7.22
140,9.93
141,10.29
142,6.77
143,10.35
144,10.61
145,10.15
146,10.35
147,10.81
148,10.26
149,3.64
150,10.16
151,11.02
152,6.37
153,6.31
154,11.77
155,11.44
156,6.74
157,10.75
158,10.82
159,7.64
160,10.38
161,12.51
162,5.82
163,9.34
164,13.43
165,9.77
166,6.47
167,6.05
168,14.71
169,9.49
170,15.35
171,5.54
172,10.17
173,11.17
174,12.68
175,7.23
176,10.3
177,6.23
178,11.64
179,12.75
180,10.91
181,8.09
182,10.0
183,9.35
184,10.11
185,8.6
186,10.27
187,7.47
188,9.64
189,9.98
190,13.02
191,9.14
192,11.72
193,7.76
194,6.09
195,11.84
196,8.72
197,9.76
198,7.22
199,11.07
200,7.95
201,8.48
202,11.04
203,10.29
204,6.61
205,8.61
206,7.65
207,10.45
208,9.13
209,16.95
210,7.32
211,10.06
212,6.88
213,11.38
214,8.37
215,8.22
216,9.14
217,9.28
218,14.37
219,6.81
220,9.26
221,5.19
222,14.7
223,11.8
224,8.26
225,10.43
226,5.9
227,10.44
228,8.25
229,8.74
230,9.57
231,9.96
232,7.02
233,7.68
234,10.38
235,13.25
236,5.75
237,9.0
238,10.34
239,10.66
240,13.16
241,9.65
242,12.22
243,7.38
244,5.43
245,13.03
246,13.13
247,13.1
248,10.1
249,7.88
250,11.27
251,9.41
252,6.9
253,8.06
254,12.36
255,10.34
256,6.92
257,8.87
258,9.96
259,6.71
260,6.75
261,11.41
262,13.69
263,13.93
264,10.57
265,3.51
266,10.9
267,13.8
268,5.35
269,7.44
270,13.44
271,12.13
272,8.44
273,13.38
274,13.03
275,8.4
276,13.09
277,13.13
278,15.29
279,11.16
280,12.26
281,3.93
282,10.02
283,5.06
284,8.13
285,11.79
286,8.69
287,10.59
288,10.09
289,9.03
290,6.22
291,9.61
292,6.95
293,9.07
294,10.06
295,14.9
296,7.64
297,10.05
298,9.2
299,10.15
300,8.75
301,8.24
302,7.3
303,9.96
304,13.4
305,9.54
306,14.52
307,9.39
308,8.48
309,5.85
310,9.59
311,13.0
312,13.68
313,7.08
314,9.93
315,11.95
316,9.85
317,10.03
318,8.03
319,7.15
320,7.47
321,11.86
322,5.87
323,10.36
324,5.09
325,9.53
326,10.99
327,9.19
328,12.58
329,9.72
330,11.97
331,10.56
332,9.14
333,9.22
334,7.81
335,11.83
336,8.75
337,8.85
338,10.32
339,9.61
340,14.88
341,10.33
342,9.81
343,12.58
344,9.0
345,5.61
346,13.46
347,12.83
348,12.45
349,13.32
350,11.37
351,8.08
352,10.35
353,11.02
354,10.84
355,9.59
356,7.18
357,7.31
358,9.65
359,15.14
360,15.73
361,12.02
362,9.43
363,9.38
364,8.09
365,10.38
366,17.96
367,9.23
368,9.08
369,8.91
370,11.69
371,8.54
372,9.38
373,9.73
374,10.08
375,9.74
376,8.93
377,8.64
378,6.37
379,8.39
380,11.22
381,10.77
382,8.83
383,12.25
384,9.5
385,7.29
386,10.57
387,10.94
388,9.71
389,12.36
390,10.16
391,9.97
392,11.39
393,8.51
394,8.8
395,10.46
396,7.23
397,7.89
398,13.36
399,7.34
400,15.53
401,14.51
402,8.54
403,7.1
404,8.97
